fa_title,en_title,price,discount,score,publisher,author,code,Isbn,pages,publication_per_date,publication_ad_date,size,cover_material,print_series,earliest_send_time,summary,tags
کتاب اعتماد کارساز است!, Trust works!," 100,000 "," 80,000 ",3.74,دنیای اقتصاد,کنت بلانچارد,83697,978-6007106440,128,1397,,پالتویی,,,,«خواندن کتاب اعتماد کارساز است! نه تنها بسیار سرگرم‌کننده است، بلکه ابزاری بسیار ارزشمند برای تقویت اعتماد و یا ترمیم آن - در مواردی که اعتماد موجود آسیب‌دیده است - فراهم می سازد. خواندن این کتاب برای همه افراد و سازمان‌ها بسیار ضروری است». (دکتر کن دراک، مدرس مدیریت و نویسنده کتاب قوانین واقعی زندگی و رازهایی که انسان نگاه می‌دارد) چرا برخی شرکت ها در اجرای تغییرات موفق تر هستند و برخی دیگر این گونه نیستند؟ آیا این مساله به نوع رهبری مربوط می شود؟ اگر این گونه است، کدام عامل است که برخی رهبران را قادر می سازد تا با کمک سایرین تغییرات مطلوب را اجرایی کنند، در حالی که برخی دیگر از رهبران قادر به انجام این کار نیستند؟» پاسخی که مولف کتاب می دهد این است که این عامل چیزی نیست مگر «اعتماد». اما اعتماد چیست؟ چگونه می توان آن را توصیف کرد؟ آیا برداشت همگان از اعتماد یکسان است؟ اگر این گونه نیست، اصلا چه طور می توانیم درباره آن صحبت کنیم؟ المستید هدف از نگارش این کتاب را افزایش آگاهی درباره موارد مربوط به اعتماد در زندگی می داند. همچنین وی ارائه زبانی مشترک و نیز ابزاری برای حل‌ و فصل این مسائل را بخشی از اهداف نگارش کتابش بیان می کند.,"['ادبیات انگلیس', 'دهه 2010 میلادی', 'اقتصادی', 'مدیریت']"
کتاب دختری با کت آبی, Girl in the Blue Coat," 155,000 "," 131,750 ",4.03,میلکان,مونیکا هسی,536,978-600-8812-16-6,256,1402,,رقعی,,,,"داستان کتاب دختری با کت آبی، در آمستردام و در سال 1943 می گذرد. هانکه، روزهایش را با تهیه و تحویل کالاهای بازار سیاه به مشتری هایش می گذراند و شب ها نیز مجبور است ماهیت اصلی کارش را از پدر و مادر نگرانش مخفی سازد. نامزد هانکه با یورش آلمان ها در جنگ کشته شد و او هر لحظه را با غم و سوگ نامزدش سپری می کند. هانکه دوست دارد که کار غیرقانونی اش را نوعی شورش و سرکشی کوچک قلمداد کند.
در روزی عادی، یکی از مشتریان هانکه، خانم جانسن، از او درخواست کمک می کند. زمانی که هانکه درخواست خانم جانسن را می شنود، بسیار شوکه و شگفت زده می شود. خانم جانسن می خواهد نوجوانی یهودی را پیدا کند که در خانه اش مخفی شده بود ولی اکنون بدون هیچ رد و نشانی ناپدید شده است. هانکه در ابتدا تمایلی به درگیر شدن در چنین ماجرای خطرناکی ندارد، اما او درنهایت، وارد گستره ای وسیع از اسرار و ماجرجویی ها می شود که او را به قلب مقاومت علیه نازی ها می کشاند، چشمانش را روی بی رحمی و ستم های جنگ باز کرده و او را وادار می سازد که هر طور شده کاری بکند.","['داستان معمایی', 'جایزه ی ادگار آلن پو (ادگارز)', 'ادبیات آمریکا', 'داستان تاریخی', 'ادبیات داستانی', 'ادبیات معاصر', 'ادبیات نوجوان', 'داستان جنگی', 'دهه 2010 میلادی', 'کتاب نوجوان']"
کتاب ترلان ارسباران, Tarlan Arasbaran," 380,000 "," 323,000 ",3.36,آوای مهدیس,اعظم فرخزاد,110534,978-6229262764,1402,شومیز,,رقعی,,,,,"['ادبیات داستانی', 'ادبیات معاصر', 'رمان', 'ادبیات ایران']"
کتاب واژه نامه روان کاوی لکانی, An Introductory Dictionary of Lacanian Psychoanalysis," 200,000 "," 170,000 ",3.41,اتاق آبی,دیلان اوانس,87845,978-6005590555,368,1401,,رقعی,,,,بدون شک ژک لکان یکی از مهم‌ترین و تاثیرگذارترین متفکران در حوزه روان‌کاوی پسافرویدی است. اندیشه وی انقلابی را در عملکرد بالینی روان‌کاوی ایجاد کرده است و هم‌چنان تاثیر عمده‌ای در زمینه‌های مختلف مانند مطالعات فیلم، نقد ادبی، نظریه و فلسفه فمنیسم دارد. خوانش واژه‌نامه روان‌کاوی لکانی در هر رشته‌ای که تاثیر او احساس می‌شود، ارزشمند خواهد بود. در این کتاب تعاریف مفصلی برای بیش از 200 اصطلاح لکانی ارائه شده است. در این واژه‌نامه هم به استفاده لکان از اصطلاحات رایج روان‌کاوی و هم به نحوه بسط آن اشاره شده است. این واژه‌نامه پیشینه تاریخی اندیشه لکان را با در نظر گرفتن مبنای کار بالینی وی توضیح می‌دهد و ریشه هر مفهوم را به اثاری از فروید، سوسور، هگل و ... نسبت می‌دهد. این واژه‌نامه مرجع منحصر به فردی هم در حیطه آموزش و هم در حوزه فعالیت‌های بالینی است و در عین حال همراهی ایده‌آل برای دنبال‌کنندگان وی در سایر رشته‌هاست. دیلن ایوانز به عنوان روان‌کاو لکانی در بوینس آیرس لندن و پاریس آموزش دیده است.,"['ادبیات انگلیس', 'ادبیات معاصر', 'دهه 1990 میلادی', 'روانشناسی', 'پرفروش ترین های چاپ 1401']"
کتاب بیست سال تکاپوی اسلامی شیعی در ایران, Twenty years of Shiite Islamic endeavor in Iran," 55,000 "," 46,750 ",3.79,مرکز اسناد انقلاب,روح الله حسینیان,45906,978-9647357593,1397,شومیز,,وزیری,,,,سیاست رضاشاه، اسلام زدایی، محو ارزش های شیعی و نابودی روحانیت و حوزه های علمیه بود. وی تمام تلاش خود را به کار برد تا به اهداف خود برسد. پس از سقوط وی در شهریور 1320 اسلام شیعی زخم خورده در دو حوزه ی سیاست و فرهنگ برای احیای خود به تکاپو افتاد. در حوزه ی سیاست برآیند آن روحانیت سیاسی بود که توانست آرمان ملی شدن صنعت نفت را به یک بسیج عمومی و نهضت تبدیل کند. از خصوصیت این دو به وجود آمدن رادیکالیسم شیعه بود که در تحولات سیاسی نقش مهمی ایفا کرد. در حوزه ی فرهنگ، حوزه ی علمیه به زعامت آیت الله بروجردی دست به بازسازی زد و توانست روحانیونی فعال، مبارز و سیاسی تربیت کند که نقش اساسی در نهضت و انقلاب اسلامی به رهبری حضرت امام(ره) داشتند. نیروهای مذهبی در این دوره از عرصه ی مطبوعات، کتاب های دینی و تشکل های فرهنگی غافل نبودند. این کتاب به بیان و تحلیل این فعالیت ها پرداخته است و می تواند تبیین کننده ی زمینه های بروز انقلاب اسلامی باشد.,"['ادبیات واقع گرایانه', 'سیاسی', 'ادبیات ایران', 'تاریخ ایران', 'تاریخ اسلام', 'کتاب مصور']"
کتاب تکنولوژی های انقلابی, Radical Technologies," 150,000 "," 120,000 ",3.02,کتاب آمه,آدام گرینفیلد,79714,978-6007033661,487,1401,,رقعی,,,,کتاب «تکنولوژی های انقلابی» اثری نوشته «آدام گرینفیلد» است که اولین بار در سال 2017 چاپ شد. به شکل پیوسته می شنویم که اختراعات و نوآوری ها، زندگی ما را ساده تر، راحت تر و کارآمدتر خواهند کرد. در همین حال، الگوریتم هایی بسیار پیچیده به شکلی نامحسوس در پس زمینه مشغول فعالیت هستند: بازآرایی اقتصاد ما، دگرگون کردن اساسی ترین قواعد در دنیای سیاست، و حتی ارائه تعریفی جدید از معنای انسان بودن. این تکنولوژی های متحول کننده پس از سلطه یافتن بر زندگی روزمره، اکنون در حال سمت و سو دادن به انتخاب های پیش روی ما در سال های آینده هستند. این راهنمای آموزنده از «گرینفیلد»، تصویری شفاف را از مقیاس و ماهیت بحرانی که اکنون با آن مواجه هستیم، می آفریند و راه هایی را برای تغییر این شرایط در آینده ارائه می کند.,"['ادبیات آمریکا', 'ادبیات معاصر', 'دهه 2010 میلادی', 'علمی', 'تکنولوژی']"
کتاب مثل حرفه ای ها یاد بگیر, Learn like a pro," 72,000 "," 61,200 ",3.97,چترنگ,باربارا اوکلی,88169,978-6227342611,179,1401,,رقعی,,,,آیا از بازدهی‌تان در مطالعه راضی نیستید؟ به حد لازم متمرکز نیستید؟ انظباط فردی ندارید؟ در به‌خاطر سپردن مشکل دارید؟ نمراتتان راضی کننده نیست؟ مدیریت زمان ندارید؟ این کتاب مال شما است.این کتاب به شما کمک می‌کند تا مطالعه و شیوه‌های حل مسئله‌تان را تا حد امکان بهبود دهید و از زمان امکاناتتان به طور موثرتری استفاده کنید.,"['ادبیات آمریکا', 'روانشناسی', 'خودپروری', 'تعلیم و تربیت', 'خلاقیت', 'دهه 2020 میلادی', 'پرفروش ترین های چاپ 1401']"
کتاب نقدی بر مارکسیسم نواسمیتی, Criticism of Neo-Smithian Marxism," 52,000 "," 44,200 ",3.73,نشر چشمه,رابرت برنر,101571,978-6007405529,261,1399,,رقعی,,,,از نظر برنر، می‌توان روایت پخته‌تر و منسجم‌تری در مارکس سراغ گرفت که عمدتا در آثار دیگرش همچون گروندریسه، مقدمه‌ی درباره‌ی نقد اقتصاد سیاسی و سرمایه قوام یافته است.در این مدل، هر یک از مناسبات اقتصادی مشخص، در دل یک «شیوه‌ی تولید» خاص درک می‌شود. این شیوه‌ی تولید، شامل مجموعه‌ای از مناسبات اجتماعی است که در پیوند با ساختار طبقاتی، پویه‌ی درونی این شیوه‌ی تولید را شکل می‌دهد. در واقع، تلاش برنر برای تبیین گذار از فئودالیسم به سرمایه‌داری، متکی بر رویکردی به ماتریالیسم تاریخی است برای تجهیز و تدقیق دستگاه مفهومی «شیوه‌ی تولید» تا بتواند در تبیین‌های تاریخی، چارچوبی منسجم و کارآمد باشد.از این روست که برنر با مبنا قرار دادن مناسبات مالکیت میان تولیدکنندگان مستقیم از یک سو و استخراج‌کنندگان یا متصرفان مازاد از سوی دیگر در پی آن است تا با استفاده از همین چارچوب به‌ظاهر تقلیل‌گرایانه و ازمدافتاده، نشان بدهد که آن‌چه عامل تعیین‌کننده در افت‌وخیزهای تاریخی و مشخصا «گذار» است، برآمده از شکل مناسبات طبقاتی (ساختار طبقاتی) و متعاقبا کشمکش و تعارض ذاتی میان این طبقات است.,"['ادبیات آمریکا', 'ادبیات واقع گرایانه', 'مجموعه مقالات', 'اقتصادی', 'جامعه شناسی']"
کتاب زبان و ادب فارسی در قلمرو عثمانی, Persian language and literature in the Ottoman Empire," 22,000 "," 19,800 ",3.95,اطلاعات,محمد امین ریاحی,41233,978-9644238291,1396,زرکوب,,وزیری,,,,"کتاب ""زبان و ادب فارسی در قلمرو عثمانی"" نوشته ""محمد امین ریاحی"" زبان فارسی را موضوع پژوهش خود قرار داده است. این کتاب به همت نشر ""اطلاعات"" منتشر شده است. سخن فارسی، نیرومندترین مایه پیوند معنوی ما با همسایگان ماست. این که در خارج از مرزهای کنونی ایران، در کران تا به کران سرزمین های همسایه، فارسی سرایان بزرگی چون رودکی در سمرقند، نظامی در گنجه، مولوی در قونیه، سنایی در غزنه، امیرخسرو و بیدل در دهلی، جامی در هرات آرمیده اند، و تربت پاک هر یک زیارتگاه صاحبدلان و صاحبنظران و توده های انبوه مردم است، پشتوانه جاودانه ما با ساکنان این سرزمینهاست. یادآوری آن روزگاران همدلی و همزبانی و پیوستگی، درسهای آموزنده ای برای نسل های امروز و فرداست. در عصر ما که هر ملت و کشوری ناچیزترین پیشینه های فرهنگی خود را بزرگ می کند و برای کسب نام و آبرو و اعتبار ملی از آنها بهره می جوید، شناختن و شناساندن فارسی و ثروت بیکران آن و عزت و اعتبار دیرین آن، وظیفه ای مسلم و غفلت از این همه، گناهی نابخشودنی است. کتاب گرانسنگ «زبان و ادب فارسی در قلمرو عثمانی» گامی ارزشمند در این راستاست که به همت شادروان دکتر محمدامین ریاحی فراهم آمده است. هدف نویسنده دانشمند این کتاب که سالها مسئول امور فرهنگی ایران در ترکیه بوده، آشنا کردن خوانندگان با سیر زبان و فرهنگ ایرانی در یک سرزمین همسایه است و با این که بنای کارش بر رعایت جانب ایجاز و پرهیز از اطناب بوده، اما راه را باز کرده تا پژوهندگان دیگر با تحقیقات بیشتر و گسترده تر، زمینه تازه ای از فرهنگ این دیار را بپیمایند.","['نقد ادبی', 'تاریخی', 'ادبیات ایران']"
کتاب از غریبه ها می ترسم, I am afraid of strangers," 10,000 "," 8,500 ",3.44,به نشر,طاهره ایبد,115845,978-9640228142,1398,شومیز,,رقعی,,,,,"['ادبیات داستانی', 'ادبیات کودک و نوجوان', 'دینی و مذهبی', 'ادبیات ایران']"
کتاب جویندگان سرنخ 4, Clue seekers 4," 105,000 "," 89,250 ",3.42,هوپا,ترسا بلانچ گاسول,115414,978-6222043254,96,1402,,رقعی,,,,پپا و مکسی از وقتی خیلی کوچولو بودند بت هم دوست‌اند. آن‌ها یک شرکت کارآگاهی دارند و توی شرکتشان به پرونده‌های عجیب و غریب و مشکوک رسیدگی می‌کنند. پولگاس، سگ شکاری آژانس، و ببیتو با پستانک جادویی‌اش در حل پرونده‌ها به آن‌ها کمک می‌کنند.چه کسی نصفه شب‌ها در قبرستان نعره می‌زند؟این بار بچه‌های مدرسه راهی اردو می‌شوند.پپا تکه روزنامه‌ای پیدا کرده که تویش نوشته در یک قبرستان صداهای وحشتناکی می‌آید و یک نفر هم سایه‌های ترسناکی آن جا دیده. از بدشانسی بچه‌ها به همان منطقه می‌روند به اقامتگاه کانتربیا؛ یعنی همان اسمی که در روزنامه نوشته شده! روی پله ها لکه‌های خون هست و تازه شب که می‌شود بچه‌ها شبح می‌بینند و نعره‌هایی از قبرستان کناری می‌شنوند.,"['ادبیات اسپانیا', 'دهه 2010 میلادی', 'کتاب کودک', 'کتاب مصور']"
کتاب کتاب بی نام اعترافات, Anonymous Confession Book," 27,000 "," 22,950 ",3.38,نیستان,داوود غفارزادگان,7267,9789643379353,1396,2009,,رقعی,,,,"یکی از به‌مهم‌ترین رخدادهای داستانی ایران پس از پیروزی انقلاب اسلامی، توسط نویسندگانی به دست و قلم رخ داده که افکار، اندیشه‌ها و نگرش‌های اجتماعی را با خود به این آثار می‌آورند. این نویسندگان حتی در زمانی که درباره گذشته و خاطرات تاریک یا روشن خود مینویسند، باز هم از دیدگاهی اجتماعی تغذیه می‌کنند و مخاطب را به فهم مفهومی عمیق‌تر در داستان هدایت می‌کنند. در میان این نویسندگان، رمان ""کتاب بی‌نام اعترافات"" از جمله آثار برجسته یک نویسنده است که در آن تلاش می‌کند دغدغه‌های پس‌داستانی خود را به تصویر کشد.این رمان نمونه‌ای از آزمون طبع نویسنده در خلق یک سبک داستانی منحصر به فرد است. از طریق دیالوگ‌های صریح و کوتاه، به همراه استفاده از عبارات و جملات زبان آذری، او می‌کوشد لحنی تازه و متفاوت برای داستان‌نویسی ایجاد کند که از یک سو شیرین و از سوی دیگر تأثیرگذار و جذاب باشد.داستان از زمانی شروع می‌شود که پدر بر اثر فوت، خودنویس خود و دست نوشته ای باقی می گذارد، کع طبق وصیت پسر باید به بازنگری و بازنویسی آن بپردازد. داستان اصلی رمان درگیری‌ها و ماجراهای جوانی است که با وجود محدودیت‌ها و ممنوعیت‌های دولت در آن دوران، به همراه عمو و چند نفر دیگر، در یک فضای شبیه‌خوانی درگیر می‌شوند.","['ادبیات داستانی', 'ادبیات معاصر', 'دهه 2010 میلادی', 'رمان', 'داستان اجتماعی', 'ادبیات ایران']"
کتاب میمون و خرچنگ, Monkey and Lobster," 25,000 "," 20,000 ",3.51,سایه گستر,شاگا هیراتا,105743,978-6229497845,17,1401,,خشتی,,,,,"['ادبیات ژاپن', 'داستان فانتزی', 'ادبیات داستانی', 'ادبیات کودک و نوجوان', 'کتاب کودک', 'داستان حیوانات']"
کتاب هنر مدرنیسم, The Art of Modernism," 360,000 "," 324,000 ",3.31,فرهنگ معاصر,ساندرو بوکولا,23596,978-9648637830,1200,1397,,وزیری,,,,"""هنر مدرنیسم"" اثری است اساسی که در آن"" ""ساندرو بوکولا"" یکی از مورخین و ویراستاران برجسته در عرصه ی هنر، توسعه ی هنر مدرن را از دهه 1790 تا 1990 تجزیه و تحلیل می کند. ""هنر مدرنیسم"" مباحثات جذاب و قابل توجهی را در بر دارد که به سبک ها و جنبش های مدرنسیم، عملکرد هنرمندان تأثیرگذاری نظیر ""یوزف بویس"" ، ""مارسل دوشان""، ""واسیلی کاندینسکی""، ""ژرژ سورا""، ""پل سزان"" و دیگر چهره های مطرح و نامدار دنیای هنر پرداخته است.علاوه بر این ، ""ساندرو بوکولا"" به منظور فراهم آوردن زمینه ای برای تشریح جنبش مدرنیسم در هنر ، از دیدگاه های تاریخی جهان در علوم انسانی ، فلسفه ، سیاست و علم، صحبت به میان آورده است. ""هنر مدرنیسم"" مناسبات این موضوع را از دوران تولد مدرنیسم تا زمان افول آن ، با بحث در مورد وقایع و رویدادهای مهم فرهنگی از نظر تاریخی ، مورد بررسی قرار داده و مباحثی را مطرح می کند که جای آن در متون مربوط به این عرصه خالی بوده است. ""هنر مدرنیسم"" یک پژوهش متقن با پیش فرض های تئوریکال واضح و شفاف است که چشم اندازی عمیق از دگرگونی های بازه ی زمانی مطرح شده در کتاب به دست می دهد. ""ساندرو بوکولا"" تا جایی که ممکن بوده از درازه گویی اجتناب نموده و مفاهیم موردنظر را مختصر و مفید به خواننده انتقال می دهد اما در مواردی که نیاز به توضیح کامل و واکاوی عمیق احساس شده، مطلب را نیمه کاره رها نمی کند و قدم به قدم خواننده را در دریافت ژرف ترین جنبه های بحث مد نظر پیش خواهد برد. این ویژگی های کتاب ""هنر مدرنیسم"" آن را به اثری مناسب جهت آموزش دانشگاهی و ابزاری مهم برای هنرجویان و علاقمندان به این عرصه مبدل نموده است.","['ادبیات ایتالیا', 'دهه 2000 میلادی', 'هنری']"
 دفتر نقاشی شیرشاه, Sketchbook," 55,000 "," 49,500 ",3.67,پیرامون,,74440,978-6000001476,,5 مهر,,خشتی,,,,دفتر نقاشي شيرشاه (كد1020)،(سيمي),"['دفتر یادداشت', 'دفتر نقاشی']"
کتاب تبادل, The Exchange," 65,000 "," 45,500 ",3.79,ساقی,وحید فرجی,63604,978-6006128757,1395,شومیز,,خشتی,,,,کتاب عکس «تبادل»، روایت بازگشت پنج اسیر لبنانی به خانه است، اسیرانی که سال ها در زندان های رژیم صهیونیستی زندانی بوده اند.دو عکاس ایرانی با نام های «سعید فرجی» و «وحید فرجی» چندین بار به لبنان سفر کردند تا از همه اتفاقات قبل، هنگام و پس از این ماجرا عکس بگیرند، این سفرها در زمان جنگ سی و سه روزه و پس از آن صورت گرفته است.انگیزه ناشر برای انتشار این دوره از کتاب های عکاسی مستند، به خصوص در این گونه خاص، ثبت رویدادها و حوداث تاریخی عصر حاضر است.در ابتدای این اثر تصویری «سعید فرجی»، نوشته است: جنگ آغاز شده بود. مردم اتفاقی تکراری را تجربه می کردند. قدیمی ترها از این جریانات زیاده دیده بودند، تجربه داشتند، اما من فقط شنیده بودم. آن وقت ها سنی نداشتم، ولی امروز باید می رفتم. دیگر شنیدن، راضیم نمی کرد. باید می رفتم تا درکش کنم، درک قصه تلخ جنگ. هفته اول جنگ به آنجا رسیدم. پس از سال ها انتظار امروز وارد جایی شدم که همهمه بود، شلوغ بود. زیبایی داشت و خرابی، اما باز رویایی بود. نمی دانم شاید به خاطر پیامبرانش بود و شاید به خاطر مردمانش، اینجا همان جایی بود که همیشه تصور می کردم.وارد جایی شدم که با تمام خرابی هایش باز هم برایم لبنان بود، لبنان رویاهایم، جنگ بود. زن ها و بچه ها را دیدم. پیرها را هم، اما جوان ها نبودند. نه من دیدمشان و نه دشمنانشان.جنگ را در روزهای گرم تابستان عکاسی کردم. اما این جنگ هیچ شباهتی با جنگ هایی که در عکس ها دیده بودم نداشت. مشاهده عکس ها کمکی به من نکرده بود، این کشور، جنگش هم خاص خودش بود. جنگ تمام شد، فکر نمی کردم بتوانم دوباره به این کشور برگردم اما ظاهرا قرار بود این تجربه ادامه داشته باشد.بازسازی را عکاسی کردم، جشن های پیروزی را، خانه های خراب را، بمب های عمل نکرده و مردم آسیب دیده از بمب های عمل نکرده را. اما نکته ای وجود داشت که جنگ برای آن آغاز شده بود. سربازان اسرائیلی فقط با آزادی سمیر قنطار لبنانی آزاد می شدند؛ و روزی آمد که تبادل را دیدم، سمیر را هم.,"['سیاسی', 'تاریخی', 'جنگی', 'ادبیات ایران', 'کتاب مصور']"
کتاب بهترین چوگان باز, Tales of a Lost Kingdom,"7,000",,3.44,پرنده آبی,اریک لوم,82459,978-6004362788,48,1396,,رحلی,,,,,"['ادبیات فرانسه', 'ادبیات داستانی', 'ادبیات نوجوان', 'دهه 2000 میلادی', 'اسطوره ها و افسانه ها', 'کتاب نوجوان', 'کتاب مصور']"
