site_index,summary
13,این که من اوقاتم را در این جا و دقیقا در این جا چگونه می گذرانم، این که آیا می توانم خودم باقی بمانم یا نه، اهمیت بیش تری دارد. به این لحاظ، «معنایی» که زندانی شدن من در نهایت خواهد داشت، به آن سادگی که در آغاز به نظر می آمد نیست. ولی مطمئنم که متوجه منظورم می شوی.این را که چه خواهد شد، نمی دانم. در حال حاضر فقط می دانم که به رغم تمام رنج ها هنوز سبک نشده ام؛ هنوز هویتم را حفظ کرده ام؛ اعتبار آن را آزموده ام و از شأنم دفاع کرده ام. این که این کدامین نیکی را به دنیا عرضه خواهد کرد، نمی دانم. اما برای من خوب است. هیچ اطمینانی وجود ندارد که دوباره بتوانم مطلب ارزنده ای بنویسم اما اطمینان دارم که اگر شکست بخورم، دیگر هرگز نخواهم توانست چیز باارزشی بنویسم. بنابراین آینده معلوم است. سرشار از امیدها، تردیدها، عزم ها، بلاتکلیفی ها، برنامه ها و بیم ها هستم. فعلا فقط از یک چیز مطمئنم: همیشه داستان جالبی وجود خواهد داشت: نه فقط برای من، بلکه با من نیز. اما تو این را می دانی، مگر نه؟می بوسمتواشک
14,این کتاب به بیان مشکلات گوناگون جامعه ما می پردازد تا تصویری از جو کنونی بیافریند و مخاطب خود را به اندیشیدن درباره محیطی که خلق کرده وادارد. این کتاب می تواند همچون تلنگری خواننده را به فکر فروببرد و این حقیقت را به او یادآور شود که اگر نفع جمعی را به منفعت خودش مقدم دارد می تواند جامعه ای پیشرفته تر داشته باشد.
15,کتاب «رضاشاه و بریتانیا» مجموعه ای است که براساس اسناد وزارت امورخارجه آمریکا به ویژگیهای رفتاری و اخلاقی رضاشاه در دوران حکومت بر ایران پرداخته است. این کتاب که در 12 فصل تهیه و تنظیم گردیده، اختناق سیاسی و اجتماعی عصر وی، زمین خواریهای رضاشاه، عملکرد وی در ارتباط با نفت، موضوع خرید اسلحه، وخامت اقتصادی ایران در عصر رضاشاه و بالاخره سیر تحولات مربوط به اشغال ایران و سقوط نامبرده را به شکل مستند مورد بحث و بررسی قرار داده است.
16,"از میان تمام تمدن های بزرگ جهان باستان، تمدن ایران یکی از کمتر شناخته شده هاست. بررسی جامع یوزف ویزهوفر از امپراتوری ایران در دوران هخامنشیان، اشکانیان و ساسانیان بر منابع اولیه فارسی - مکتوب، باستان شناسی، و سکه شناسی متمرکز است. او از رویکرد سنتی غربی که به شدت بر روایت‌های نادرست یونانی و رومی تکیه دارد، اجتناب می‌کند. بخشی از طراوت این کتاب از دیدگاه خاور نزدیک آن ناشی می شود.«یوزف ویزهوفر» کار فوق العاده ای انجام داده است، این کار برای علاقه مندان و دانشجویان ایران باستان یا ایران و به طور کلی تاریخ جهان ضروری است.کتاب «ایران باستان» ""از ۵۵۰ پ‍ی‍ش از م‍ی‍لاد ت‍ا ۶۵۰ پ‍س از م‍ی‍لاد"" توسط انتشارات ققنوس منتشر شده است."
17,ناپلئون، بیل گیت، جورج دابلیو بوش، اسامه بن‌لادن. رهبران و مفهوم رهبری موضوعی کهن اما همچنان داغ است. رهبری چیست؟ چگونه کسی رهبر می‌شود. آیا به‌واقع به رهبر نیاز داریم؟ کیث گرینت در این کتاب پاسخ‌هایی جذاب به این پرسش‌ها می‌دهد و خوانندگان را وامی‌دارد در مفروضاتشان از رهبری تجدیدنظر کنند. گرینت استدلال می‌کند که رهبری مفهومی لغزنده است و به همین دلیل است که انبوه کتاب‌های مربوط به رهبری علی‌رغم جنجالی که به پا می‌کنند پاسخی درخور به پرسش‌های فوق نداده‌اند. اما پرسش‌های مهمی در اینجا مطرحند که آشکار می‌کنند چرا مفهوم رهبری در برابر تعریف شدن مقاومت می‌کند. کیث گرینت به چگونگی تحول مفهوم رهبری در جوامع کهن پرداخته، نگاهی به تعریف افلاطون، سو سو، ماکیاولی و دیگران می‌اندازد و نشان می‌دهد چگونه نیروهای سیاسی، اقتصادی و اجتماعی باعث تضعیف برخی شیوه‌های رهبری می‌شوند.
19,در دشت های پهناور آفریقا کرگدنی به نام نوربرت خرگردن زندگی می کرد. او بسیار بداخلاق و بی عقل بود اما زور بسیار زیادی داشت و هرکس را که سر راهش بود از بین می برد. اهالی دشت بسیار از او می ترسیدند و سعی می کردند هیچ وقت با او روبه رو نشوند. یک روز آنها تصمیم گرفتند دور هم جمع شوند و راهی برای مقابله با خرگردن پیدا کنند و حالا پرنده ای کوچولو و شجاع می خواهد نوربرت را ادب کند.
20,تعداد کمی از افراد نسبت به باب پراکتور زمان بیشتری را برای مطالعه موفقیت صرف کرده‌اند. او تا زمان مرگ بیش از پنجاه سال، هرروز، تمام‌روز را صرف تحلیل موفقیت کرده است. در طول سال‌ها، شکست‌های زیادی داشته، اما موفقیت‌های هیجان‌انگیز متعددی در کنار کسب شهرت در سراسر جهان و میلیون‌ها دلار ثروت نیز داشته است. پیروزی‌ها و شکست‌ها هر دو تجربیات یادگیری شخصی فوق‌العاده‌ای هستند.این‌ها درس‌های اصلی‌ای هستند که باب پراکتور در طول زندگی حرفه‌ای درخشان خود از مطالعه اختصاصی، کاربرد دقیق، آزمون‌وخطا و البته، ‌موفقیت‌های بزرگ، آموخته و بر آن‌ها تسلط یافته است.وقتی نوبت به نظم بخشیدن به سبک زندگی می‌رسد، هیچ فرد دیگری نمی‌تواند به او برسد. او به‌سادگی بهترین است.اجازه دهید باب پراکتور شمارا از طریق 12 اصل خود برای رسیدن به موفقیت راهنمایی کند. این راهنمایی پیش از رسیدن به فصل آخر، شروع به تأثیرگذاری روی شما خواهد کرد.اجازه دهید باب پراکتور نکات زیر را به شما آموزش دهد:• اعتمادبه‌نفس• پشتکار• اهداف• موفقیت• نگرش• ارتباط• اقدام• تصمیم‌گیری• ریسک کردن• مسئولیت‌پذیری• پول• خلاقیتافراد کمی واقعا موفق هستند و بسیاری دیگر در تمام زندگی خود، برای رسیدن به موفقیت تلاش می‌کنند. درنتیجه، افراد معمولی معتقدند موفقیت به سختی به دست می‌آید و کسانی که به آن دست می‌یابند یا خوش‌شانس هستند یا بسیار بااستعداد.بسیاری از مردم آن‌قدر مشغول تلاش برای گذران زندگی خود هستند که هرگز برای مطالعه واقعی افراد بسیار موفق وقت نمی‌گذارند. هر فردی که چنین مطالعه‌ای انجام داده، به یک نتیجه تکان‌دهنده رسیده است: موفقیت صرفا یک تصمیم است. شما باید تصمیم بگیرید که چه می‌خواهید و سپس حرکت به سمت آن را آغاز کنید. شما تصمیم می‌گیرید که کجا باشید و با هر آنچه دارید شروع می‌کنید. همین.
21,توجه به نیروی انسانی طی سال های اخیر بخش مهمی از زمان و سرمایهٔ سازمان های پیشرو را به خود اختصاص داده است و مدیران هوشمند با سرمایه گذاری در زمینهٔ توسعه و ارتقای نیروی انسانی، کارآیی و برتری سازمان خود را تضمین می کنند. به دلیل اهمیت فزایندهٔ نیروی انسانی، مسائل انگیزشی، ارضای نیازهای معنوی، فراهم آوردن فضایی برای رشد و خلاقیت، همراه با ایجاد محیطی ایمن، سالم و صلح آمیز در کنار تأمین نیازهای مادی کارکنان حتی بعد از پایان خدمت، مورد توجه قرار گرفته است. مدیریت منابع انسانی با مسئولیت خاص رسیدگی و توجه به نیروی انسانی به صورت واحدی همتراز واحدهای تولید، مالی و فروش در سازمان ها درآمده است.
22,کتاب صوتی بله یا خیر: راهنمای تصمیم‌گیری بهتر نوشته‌ی اسپنسر جانسون، دربردارنده‌ی راهکارها و روش‌هایی است که به شما کمک می‌کند در موقعیت‌های حساس، تصمیمات درست بگیرید؛ راهکارهایی تاثیرگذار برای این­که بدانید چطور به چیزی که برایتان کارآیی دارد، بله و به چیزی که برای­تان کارآیی ندارد، خیر بگویید.
23,حرامیان ،از شاهکارهای کمیک فاکنر، یک رندنامه یا پیکارسکی است که داستان سه دزد ماشین اهل روستایی در می سی سی پی را روایت می کند. لوسیوس پریست یازده ساله توسط بون هاگنبک ،یکی از دوستان خانودگی شان، متقاعد می شود تا ماشین پدربزگش را بدزدند و به ممفیس سفر کنند. در میانه ی راه متوجه می شوند که ند مک کازلین ،مربی سیاه پوست پریست ، نیز خود را در ماشین پنهان کرده است. در نتیجه هر سه نفر در سفری ادیسه وار همراه می شوند که اطمینان دارند به فاحشه خانه ی خانم ربا در ممفیس ختم می شود. اما در ادامه مجموعه ای از اتفاقات ناخوشایند برای آنها رخ می دهد...
24,خیلی عاشق‌شان خواهید شد… به حد مرگ…دستینی و لیوی ولر خواهران دوقلویی هستند که از تعطیلات تابستانی برمیگردند… اما با رازی مبهم… و اشتهای فراوان غیر بشری برای… نوشیدن خون.عطشی و مقاومت ناپذیر برای… نوشیدن خون. خواهر تبدیل به چه چیزی شده‌اند؟ دو خون‌آشام؟ آیا دوباره مثل قبل عادی و طبیعی می‌شوند؟ چگونه راز هراس‌انگیزشان را از خانواده و دوستانشان مخفی نگه دارند؟حقیقت این است که با گذشت زمان سوالات بیشتری به ذهنشان خطور می‌کند، و میزان صداقت و وفاداری‌شان سنجیده می‌شود، بنابراین مخفی نگه‌داشتن این راز مرگبار نیز لحظه به لحظه سخت و سخت‌تر می‌شود.رفته‌رفته یکی از خواهرها به قهقرا می‌رود،و درون تاریکی سقوط می‌کند، و خواهر دیگر مجبور می‌شود راهی پیدا کند که او و خودش را نجات دهد. کدام خواهر زنده خواهد ماند تا تلألو قرص کامل بعدی ماه را ببیند؟ کدام خواهر بقا خواهد یافت؟ آیا راهی پیدا می‌کنند که دوباره تبدیل به آدمیزاد بشوند؟ قبل از اینکه زمان بگذرد و خیلی دیر شود؟استاین در کتاب دختران خطرناک جانوران ناشناخته و اسرارآمیز شب را کشف می‌کند…
26,در آغاز به قدرت رسیدن داریوش بزرگ (حدود 52 ق م) آشوب همه جای قلمرو پهناور هخامنشی را فراگرفته است و در هر گوشه ای فرمانروایی سر به شورش برداشته و مدعی پادشاهی است داریوش بسیار به خود می بالد که توانسته همه این آشوب ها را آرام کند پس یادمانی بر کوه بیستون نگاشته و در آن با نگاره «شاهان دروغین» و کتیبه هایی به سه زبان ایلامی فارسی باستان و بابلی و سه گونه از خط میخی این روزگار سخت و فتح بزرگ را برای آیندگان روایت کرده و تبارنامه و اندرز نامه خود را نیز بدان افزوده است. این پژوهش بررسی تحریر ایلامی کتیبه بیستون است و پژوهشگران استادان و دانشجویان زبان ایلامی و تاریخ فرهنگ دین و زبان های ایران باستان میتوانند مخاطب همه بخش های آن و علاقه مندان به تاریخ تمدن و ایران باستان میتوانند مخاتطب بخش هایی از آن باشند.
27,روشنگری در زمینه رژیم غذایی و تغذیه به معنای جدا شدن از تلاش های غیرضروری، هزینه ها، خطرات سلامتی و اتلاف وقت است؛ که در برخی موارد، می تواند نجات دهنده باشد. اما چالش بزرگ اینجاست: چگونه به عموم مردم که دائما در شرایط سخت جهت تصمیم گیری در تشخیص اطلاعات نادرست مرتبط با رژیم غذایی هستند، برسد؟ چگونه میتوانیم آنچه را که میدانیم به آنها بیاموزیم؟ فکر میکنم میتوانیم به منبر برویم و در آنجا موعظه کنیم، اما چگونه می توانیم مردم را به یادگیری دعوت کنیم؟ اینطور نیست که آن‌ها فقط بتوانند در متون پژوهشی تعمق کنند و راه خود را از طریق آن طی کنند. حتی اگر میتوانستند، درایت در شرایط سخت همچنان ممکن نبود. به نظر میرسد که ما متخصصان مبتنی بر شواهد همه “رازها” را میدانیم، اما تلاش های ما برای انتقال موثر آن ها به عموم مردم تا حد زیادی شکست خورده است.سوال پرتکراری که با آن مواجه هستم این است که چه کتابی قابل درک و درعی نهال غیرمعمولی را برای یادگیری اینکه برای رسیدن به اهداف مرتبط با تناسب اندام چه بخوریم توصیه م یکنم؟ این کتاب پاسخی است – یا حداقل پاسخ من است که با پشتوانه انبوهی از شواهد از دانشگاه و دنیای واقعی پشتیبانی می شود. البته من دوست دارم یک کتاب در فضای مجازی منتشر شود و جهان را در یک لحظه تغییر دهد. کمترین چیزی که من به آن امیدوار هستم این است که اثر پروانه را آغاز کنم و شاید الهام بخش تعداد انگشت شماری از افراد باهوش با دسترسی و منابع بیشتر نسبت به آنچه من دارم، برای بهتر کردن جهان با اطلاعات مبتنی بر شواهد باشد.انعطاف پذیر بودن رژیم غذایی یکی از حلقه های گمشده اغلب رژیم های غذایی طراحی شده برای افرادی است که به دنبال سلامت و تندرستی با استفاده از فعالیت های ورزشی و رژیم غذایی هستند می باشد؛ در کتاب حاضر با نگارش آن آلن آراگون ، اصول و نحوه ی طراحی رژیم غذایی انعطاف پذیر که منجر به پایبندی و اثربخشی رژیم غذایی میشود، ارایه شده است. ما این کتاب را برای تمام ورزشکاران، مربیان و هر فردی که هدف دستیابی و حفظ فیزیک، عملکرد و سلامت مطلوب را دارد، توصیه می کنیم.
28,خطر گناه، همواره ما را تهدید می کند و سعادت دنیا و آخرت ما را در معرض نابودی قرار می دهد. برای گریز از این خطر، باید اندیشید و از سخنان نورانی اهل بیت (ع) مدد جست. کتاب گریز از گناه با بهره گیری از معارف ناب اسلامی، راهکارهای جالبی را برای در امان بودن از آسیب گناه پیش روی ما می نهد.
30,دانش ارزیابی کار و زمان را می توان مجموعه مسیعی از تکنیک هایی دانست که در دو بعد کلی مطالعه روش های عملیات و زمان سنجی و با هدف ارتقای سطح بهره وری در انواع فعالیت های کاری توسعه یافته اند. کاربرد این تکنیک ها منحصر به سازمان یا صنعت خاصی نبوده و به طرق مختلف شامل تجزیه و تحلیل حرکات و روش ها، برنامه ریزی ماشین آلات و نیروی انسانی، طرح ریزی و زمان بندی عناصر کاری و مهم تر از همه توسعه استانداردهای عملیاتی، زمینه بهبود را فراهم می سازد. کتاب حاضر به معرفی مهم ترین تکنیک های رایج در این حوزه می پردازد.
31,مجموعه کتاب آموزش زبان ترکی استانبولی ینی هیتیت yeni Hitit توسط مرکز زبان دانشگاه آنکارا Ankara Üniversitesi تـالیف شده است و بهترین متد برای فراگیری زبان ترکی استانبولی و آمادگی برای شرکت در آزمون تومر می باشد. همچنین با استفاده از منابع کتاب های هیتیت می توانید زبان ترکی استانبولی را به صورت خودخوان و خودآموز و کاربردی فرا بگیرید. کتاب راهنمای هیتیت ۱ شامل :ترجمه متن ها ی درسی هیتیت ۱ترجمه متن های کتاب کار هیتیت ۱ترجمه مکالمات و فایل های صوتی کتاب درس و کتاب کار ینی هیتیت ۱این کتاب مناسب برای زبان آموزان سطح مبتدی ینی هیتیت yeni HiTiT1 و علاقه مندان به فراگیری زبان ترکی استانبولی که در سطح مقدماتی است
34,نویسنده در کتاب پیش رو شرح حالی جالب، خواندنی و آموزنده از دانشمندانی چون ارسطو، گالیله، آیزاک نیوتن، مایکل فارادی، چارلز داروین و آزمایش های حیرت انگیز آن ها در اختیار مخاطبان قرار می دهد. شکل داستان گونه، زبان طنز و تصاویر زیبا و ساده ی بکارگرفته شده در این اثر از جذابیت های بی نظیر آن به حساب می آید.
35,امروزه با توجه به رشد سریع علوم در اغلب زمینه ها و گسترش آن در سراسر جهان کنونی، انتقال تجربیات و پژوهش های محققان بی شک از مهمترین وظایف پژوهشگران به شمار می رود. در رشته نوپای باستان شناسی نیز بهره گیری از تجربیات و پژوهش های باستان شناسان غیرایرانی بسیار ضروری به نظر می رسد. در این میان، ضرورت انتقال دستاوردهای علمی راجع به ایران، بیش ازپیش رخ می نمایاند. «در مسیر شاهراه»، حاصل زحمات چهل ساله ی گروهی از باستان شناسان، پژوهشگران و ایران شناسان موزه سلطنتی انتاریو کانادا بوده و دربرگیرنده آخرین نتایج کاوشهای کلیدی ترین محوطه باستان شناختی غرب ایران است که در سال 2011 میلادی به چاپ رسیده است.سال ها از آغاز فعالیت های باستان شناسی در زاگرس مرکزی می گذرد. بیش از یک قرن است که باستان شناسان به بهانه های گوناگون در این بخش از ایران به کندوکاو می پردازند تا شاید بخشی از آنچه به عنوان میراث فراموش شده معنوی از آن یاد می کنیم را بازسازی کنند؛ اما با این حال در سال های آغازین این راه، عتیقه جویی سایه ای سنگین بر این این فعالیت ها افکنده بود. طی این یک قرن، باستان شناسان متعددی پای به این دره های پرپیچ وخم نهادند و شاید بتوان گفت در میان تمامی این باستان شناسان، تامس کایلر یانگ جوان که به تازگی در مقطع دکترای باستان شناسی از دانشگاه پنسیلوانیا دانش آموخته شده بود، توانست با شناسایی محوطه ای شگفت انگیز، فصلی تازه در باستان شناسی ایران، به ویژه زاگرس مرکزی رقم زند. این محوطه اسرارآمیز که در دشت کنگاور در استان کرمانشاه قرار گرفته برای اولین بار در سال 1965 توسط گروهی از موزه سلطنتی انتاریو به سرپرستی کایلر یانگ مورد کاوش قرار می گیرد و نتایج اولیه آن نیز در دو جلد به چاپ رسید.
36,در دنیایی زندگی می کنیم که در آن مفاهیم تازه ای چون حقوق بشر، آزادی های سیاسی، دموکراسی، حقوق مدنی، فلسفه های مضاف از قبیل فلسفه ی دین و فلسفه ی اخلاق، و مفاهیم دیگری در عرصه های علوم انسانی روئیده و همواره رو به بالندگی است.
37,داستان کوتاه “یک دسته نامه” دربردارنده ی متن نامه هایی از اشخاص مختلف آمریکایی، آلمانی و انگلیسی مستقر در پانسیونی در پاریس است که هریک به نحوی در نوشته هایشان، به آشکارسازی خصوصیات خود، بیان دیدگاهشان نسبت به دیگر افراد حاضر در پانسیون و مقایسه ی فرهنگ و تمدن ها می پردازند.
38,این اثر دومین مجموعه از آثار پیمان فخاریان است که طی سال‌های مختلف نوشته شده‌اند. وی تاکنون بیش از دویست قطعه برای گیتار سلو و دوئت و همچنین گیتار و ویلن و گیتار و کمانچه ساخته است که بیش از هفتاد قطعه از آنها در سی‌دی‌های وی منتشر شده‌اند. از آنجا که بررسی آثار یک آهنگساز و اجرای آنها وابسته به بررسی پارتیتور آثار او می‌شود، پس انتشار این مجموعه نیز امری است اجتناب ناپذیر. اغلب آثار این مجموعه در سی‌دی‌های (تولد تلخ، مرثیه‌ای برای یک فرشته، آینه‌ای برای تاریکی) که توسط همین ناشر منتشر شده‌اند قابل شنیدن است.
39,کریستین فوکس یکی از مهم‌ترین نظریه‌پردازان انتقادی ارتباطات در روزگار ماست. او در این کتاب به سراغ مفاهیمی می‌رود که برای نظریه‌ای انتقادی در باب رسانه و ارتباطات در قرن ۲۱ ضروری است. فوکس با توجه به نوشته‌های مارکس، تلقی او را از مفاهیم ماشین‌آلات و فناوری و ارتباطات و ایدئولوژی استخراج می‌کند، مفاهیمی که جملگی زمینه‌ساز تحلیل مضامین اصلی عصر دیجیتال‌اند.
40,اهالی دهکده ی «ومی کی ها» آدم کوچولوهای چوبی هستند که همه ی آن ها را نجاری به نام «ایلای» ساخته است؛ «پانچلو» هم یکی از اهالی این دهکده است، او خیلی خیلی دوست دارد برای روز سازنده و جشن بزرگی که در راه است کار خیلی بزرگی انجام بدهد. بقیه ی اهالی دهکده هم در تلاش و تکاپو هستند تا جشنی بی نظیر برپا شود. همه چیز خوب پیش می رود تا این که با اشتباه پانچلو مراسم روز جشن خراب می شود؛ اما این اتفاق یک درس بزرگ و هدیه ی شگفت انگیز به همه ی اهالی دهکده می دهد؛ این که آن ها پی می برند وحدت و همکاری با یکدیگر از هر چیز دیگری در دنیا شگفت انگیز تر است.
